2020-08-25 15:44:16.783|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:12:39.673|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:13:55.615|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:13:55.616|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:13:56.554|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:13:56.563|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:18:25.016|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:18:25.017|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:18:25.698|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:18:25.702|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:18:28.802|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:18:28.803|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:18:29.595|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:18:29.598|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:18:52.533|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:18:52.534|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:19:01.089|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:19:01.090|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:19:19.855|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:19:19.855|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:19:20.671|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:19:20.674|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:19:27.448|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:19:27.448|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:19:28.432|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:19:28.435|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:19:40.297|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:19:40.298|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:19:41.097|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:19:41.101|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:20:28.756|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:20:28.757|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:20:29.628|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:20:29.630|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:02.673|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:02.674|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:21:03.417|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:21:03.420|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:15.307|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:15.314|DEBUG|(0.001) SELECT VERSION(); args=None
2020-08-25 16:21:16.283|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:21:16.286|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:27.527|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:27.528|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:21:28.238|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:21:28.241|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:35.816|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:35.819|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:21:36.528|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:21:36.531|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:48.003|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:48.004|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:21:48.863|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:21:48.866|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:21:51.913|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:21:51.914|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:21:52.655|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:21:52.658|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:22:03.118|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:22:03.124|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:22:03.832|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:22:03.835|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:22:23.422|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:22:23.423|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:22:24.327|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:22:24.330|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:22:58.739|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:22:58.741|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:22:59.499|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:22:59.502|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:23:06.918|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:23:06.919|DEBUG|(0.001) SELECT VERSION(); args=None
2020-08-25 16:23:07.679|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:23:07.682|DEBUG|(0.002) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:23:52.070|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:23:52.071|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:23:52.894|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:23:52.898|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:24:11.958|DEBUG|(0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:24:11.959|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:24:12.881|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:24:12.884|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:24:19.179|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:24:19.183|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:24:20.057|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:24:20.060|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:24:22.460|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:24:22.461|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:24:23.269|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:24:23.271|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:28:41.276|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:28:41.277|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:28:42.065|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:28:42.068|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:32:28.075|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:32:28.081|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:32:29.031|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 16:32:29.034|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:32:35.516|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:32:35.517|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:32:36.394|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:32:36.397|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:32:50.118|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:32:50.119|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:32:50.865|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:32:50.868|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:32:54.070|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:32:54.071|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:32:54.904|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:32:54.907|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:32:57.209|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:32:57.210|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:32:57.998|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:32:58.001|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:35:13.504|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:35:13.504|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:35:14.306|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:35:14.309|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:35:24.838|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:35:24.839|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:35:25.712|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:35:25.715|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:35:28.120|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:35:28.121|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:35:28.986|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:35:28.990|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 16:44:24.448|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 16:44:24.448|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 16:44:25.201|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 16:44:25.204|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:22:17.564|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:22:17.565|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:22:24.920|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:22:24.921|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:23:12.117|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:23:12.118|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:23:12.893|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 17:23:12.896|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:23:26.303|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:23:26.303|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:23:26.998|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:23:27.001|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:23:51.705|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:23:51.710|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:23:52.498|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:23:52.501|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:24:01.004|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:24:01.005|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:24:01.712|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:24:01.714|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:24:24.388|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:24:24.388|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:24:25.195|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:24:25.198|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:29:14.980|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:29:14.999|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:29:17.803|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:29:17.804|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:29:18.464|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:29:18.468|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:29:47.302|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:29:47.306|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:29:48.034|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:29:48.038|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:30:43.821|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:30:43.822|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:30:44.583|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:30:44.585|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:31:42.125|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:31:42.126|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:31:42.890|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:31:42.893|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:33:24.706|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:33:24.707|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:33:25.494|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:33:25.497|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:36:58.255|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:36:58.255|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:36:58.983|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:36:58.985|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:37:22.593|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:37:22.594|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:37:23.555|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:37:23.564|DEBUG|(0.007) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:38:13.249|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:38:13.250|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:38:13.990|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:38:13.993|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:41:47.976|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:41:47.978|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:41:48.747|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 17:41:48.750|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:41:58.102|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:41:58.103|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:41:58.892|DEBUG|(0.005) SHOW FULL TABLES; args=None
2020-08-25 17:41:58.896|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:46:52.524|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:46:52.525|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:46:53.364|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:46:53.367|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:47:14.082|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:47:14.083|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:47:20.916|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:47:20.917|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:47:21.643|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:47:21.645|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:47:25.560|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:47:25.561|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:47:26.334|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:47:26.338|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:47:50.541|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:47:50.542|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:47:51.206|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:47:51.209|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:49:51.044|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:49:51.045|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:49:51.817|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:49:51.820|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:50:03.639|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:50:03.640|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:50:04.583|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 17:50:04.586|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:50:56.229|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:50:56.230|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:50:57.034|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 17:50:57.039|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:51:17.281|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:51:17.282|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:51:17.986|DEBUG|(0.003) SHOW FULL TABLES; args=None
2020-08-25 17:51:17.988|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:51:52.480|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:51:52.481|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:51:53.232|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:51:53.235|DEBUG|(0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:52:55.138|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:52:55.139|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:52:55.921|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:52:55.923|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:53:58.704|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:53:58.705|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:53:59.614|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:53:59.618|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:54:21.107|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:54:21.107|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:54:21.964|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:54:21.966|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 17:54:33.600|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 17:54:33.600|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 17:54:34.523|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 17:54:34.526|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 18:09:19.418|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-08-25 18:09:19.420|DEBUG|(0.000) SELECT VERSION(); args=None
2020-08-25 18:09:20.204|DEBUG|(0.002) SHOW FULL TABLES; args=None
2020-08-25 18:09:20.206|DEBUG|(0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2020-08-25 18:09:26.760|DEBUG|(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
